id_denuncia,texto_denuncia,nivel_risco
353,Ficam rindo da minha roupa quando eu chego na sala. - Aconteceu na quarta.,Baixo Risco
354,Avisaram que vão me bater na saída da escola hoje. - Aconteceu na quinta.,Risco Moderado
355,Um menino da outra turma me deu língua. - Aconteceu na quinta.,Baixo Risco
356,Falaram mal do meu cabelo hoje de manhã.,Baixo Risco
357,Colocaram um apelido chato em mim durante a aula de educação física. - Aconteceu na terça.,Baixo Risco
358,"Me empurraram na escada de propósito, quase caí. - Aconteceu na terça.",Risco Moderado
359,Esconderam meu estojo de sacanagem. - Aconteceu na segunda.,Baixo Risco
360,Fizeram um grupo no WhatsApp e não me adicionaram.,Baixo Risco
361,Colocaram um apelido chato em mim durante a aula de educação física. - Aconteceu na segunda.,Baixo Risco
362,Ficam rindo da minha roupa quando eu chego na sala.,Baixo Risco
363,Pegaram minha borracha e não devolveram.,Baixo Risco
364,Um menino da outra turma me deu língua.,Baixo Risco
365,Ficam mandando mensagens me xingando de lixo todos os dias. - Aconteceu na quinta.,Risco Moderado
366,Um aluno da minha sala trouxe uma faca na mochila e me mostrou.,Alto Risco
367,Me chamaram de feio no recreio.,Baixo Risco
368,Me chamaram de feio no recreio.,Baixo Risco
369,Ficam rindo da minha roupa quando eu chego na sala. - Aconteceu na terça.,Baixo Risco
370,Fizeram um grupo no WhatsApp e não me adicionaram.,Baixo Risco
371,Um grupo ficou me encurralando no banheiro no intervalo.,Risco Moderado
372,Colocaram um apelido chato em mim durante a aula de educação física. - Aconteceu na sexta.,Baixo Risco
373,Avisaram que vão me bater na saída da escola hoje. - Aconteceu na quarta.,Risco Moderado
374,Ele disse que não tem mais vontade de viver e que vai fazer uma besteira amanhã na escola. - Aconteceu na quinta.,Alto Risco
375,Pegaram minha borracha e não devolveram.,Baixo Risco
376,Rasgaram meu caderno inteiro e jogaram minha mochila no lixo. - Aconteceu na terça.,Risco Moderado
377,Um menino da outra turma me deu língua. - Aconteceu na terça.,Baixo Risco
378,Um grupo ficou me encurralando no banheiro no intervalo.,Risco Moderado
379,Avisaram que vão me bater na saída da escola hoje. - Aconteceu na quinta.,Risco Moderado
380,Fizeram um grupo no WhatsApp e não me adicionaram.,Baixo Risco
381,Avisaram que vão me bater na saída da escola hoje. - Aconteceu na quarta.,Risco Moderado
382,Me chamaram de feio no recreio. - Aconteceu na quinta.,Baixo Risco
383,Falaram mal do meu cabelo hoje de manhã.,Baixo Risco
384,Encontraram um revólver escondido no banheiro masculino.,Alto Risco
385,"Me empurraram na escada de propósito, quase caí.",Risco Moderado
386,Ficam mandando mensagens me xingando de lixo todos os dias.,Risco Moderado
387,Roubaram meu dinheiro do lanche e disseram que se eu contar vão me pegar. - Aconteceu na terça.,Risco Moderado
388,Avisaram que vão me bater na saída da escola hoje. - Aconteceu na quarta.,Risco Moderado
389,Estão espalhando mentiras graves sobre mim para a escola inteira. - Aconteceu na segunda.,Risco Moderado
390,Um menino da outra turma me deu língua. - Aconteceu na sexta.,Baixo Risco
391,Pegaram minha borracha e não devolveram.,Baixo Risco
392,Colocaram um apelido chato em mim durante a aula de educação física.,Baixo Risco
393,Ficam mandando mensagens me xingando de lixo todos os dias. - Aconteceu na quinta.,Risco Moderado
394,Ficam mandando mensagens me xingando de lixo todos os dias.,Risco Moderado
395,Estão espalhando mentiras graves sobre mim para a escola inteira. - Aconteceu na quarta.,Risco Moderado
396,Pegaram minha borracha e não devolveram. - Aconteceu na segunda.,Baixo Risco
397,Avisaram que vão me bater na saída da escola hoje.,Risco Moderado
398,Colocaram um apelido chato em mim durante a aula de educação física. - Aconteceu na terça.,Baixo Risco
399,"Me empurraram na escada de propósito, quase caí. - Aconteceu na sexta.",Risco Moderado
400,Roubaram meu dinheiro do lanche e disseram que se eu contar vão me pegar. - Aconteceu na sexta.,Risco Moderado
401,Pegaram minha borracha e não devolveram. - Aconteceu na terça.,Baixo Risco
402,Vi um cara vendendo drogas no portão e ele disse que está armado. - Aconteceu na quinta.,Alto Risco
403,Ficam rindo da minha roupa quando eu chego na sala.,Baixo Risco
404,Ele disse que não tem mais vontade de viver e que vai fazer uma besteira amanhã na escola.,Alto Risco
405,Fizeram um grupo no WhatsApp e não me adicionaram. - Aconteceu na quinta.,Baixo Risco
406,Roubaram meu dinheiro do lanche e disseram que se eu contar vão me pegar. - Aconteceu na segunda.,Risco Moderado
407,Pegaram minha borracha e não devolveram. - Aconteceu na segunda.,Baixo Risco
408,Colocaram um apelido chato em mim durante a aula de educação física. - Aconteceu na sexta.,Baixo Risco
409,Ele disse que não tem mais vontade de viver e que vai fazer uma besteira amanhã na escola. - Aconteceu na quarta.,Alto Risco
410,Esconderam meu estojo de sacanagem.,Baixo Risco
411,Me chamaram de feio no recreio.,Baixo Risco
412,Um menino da outra turma me deu língua.,Baixo Risco
413,Ficam mandando mensagens me xingando de lixo todos os dias. - Aconteceu na quarta.,Risco Moderado
414,Ficam rindo da minha roupa quando eu chego na sala.,Baixo Risco
415,Rasgaram meu caderno inteiro e jogaram minha mochila no lixo. - Aconteceu na quinta.,Risco Moderado
416,Um menino da outra turma me deu língua.,Baixo Risco
417,Encontraram um revólver escondido no banheiro masculino. - Aconteceu na quarta.,Alto Risco
418,Estão combinando um ataque armado no grupo do Discord da escola.,Alto Risco
419,"Me empurraram na escada de propósito, quase caí. - Aconteceu na terça.",Risco Moderado
420,Ficam rindo da minha roupa quando eu chego na sala.,Baixo Risco
421,Fizeram um grupo no WhatsApp e não me adicionaram.,Baixo Risco
422,Fizeram um grupo no WhatsApp e não me adicionaram.,Baixo Risco
423,Roubaram meu dinheiro do lanche e disseram que se eu contar vão me pegar.,Risco Moderado
424,Avisaram que vão me bater na saída da escola hoje.,Risco Moderado
425,Falaram mal do meu cabelo hoje de manhã.,Baixo Risco
426,Estão combinando um ataque armado no grupo do Discord da escola.,Alto Risco
427,Fizeram um grupo no WhatsApp e não me adicionaram. - Aconteceu na quinta.,Baixo Risco
428,Pegaram minha borracha e não devolveram. - Aconteceu na quarta.,Baixo Risco
429,Falaram mal do meu cabelo hoje de manhã.,Baixo Risco
430,Pegaram minha borracha e não devolveram. - Aconteceu na quarta.,Baixo Risco
431,Avisaram que vão me bater na saída da escola hoje. - Aconteceu na terça.,Risco Moderado
432,Colocaram um apelido chato em mim durante a aula de educação física. - Aconteceu na terça.,Baixo Risco
433,"Me empurraram na escada de propósito, quase caí.",Risco Moderado
434,Avisaram que vão me bater na saída da escola hoje.,Risco Moderado
435,Ficam rindo da minha roupa quando eu chego na sala.,Baixo Risco
436,Um aluno ameaçou matar a professora depois de levar uma advertência. - Aconteceu na sexta.,Alto Risco
437,Ficam rindo da minha roupa quando eu chego na sala.,Baixo Risco
438,Estão espalhando mentiras graves sobre mim para a escola inteira. - Aconteceu na sexta.,Risco Moderado
439,Ele disse que não tem mais vontade de viver e que vai fazer uma besteira amanhã na escola. - Aconteceu na quinta.,Alto Risco
440,Encontraram um revólver escondido no banheiro masculino.,Alto Risco
441,Um menino da outra turma me deu língua. - Aconteceu na quinta.,Baixo Risco
442,Um menino da outra turma me deu língua.,Baixo Risco
443,Avisaram que vão me bater na saída da escola hoje.,Risco Moderado
444,Fizeram um grupo no WhatsApp e não me adicionaram. - Aconteceu na sexta.,Baixo Risco
445,Um grupo ficou me encurralando no banheiro no intervalo. - Aconteceu na segunda.,Risco Moderado
446,Esconderam meu estojo de sacanagem. - Aconteceu na quarta.,Baixo Risco
447,Ficam mandando mensagens me xingando de lixo todos os dias. - Aconteceu na sexta.,Risco Moderado
448,Roubaram meu dinheiro do lanche e disseram que se eu contar vão me pegar. - Aconteceu na quarta.,Risco Moderado
449,Falaram mal do meu cabelo hoje de manhã. - Aconteceu na segunda.,Baixo Risco
450,Ficam rindo da minha roupa quando eu chego na sala.,Baixo Risco
451,Ele disse que não tem mais vontade de viver e que vai fazer uma besteira amanhã na escola.,Alto Risco
452,Fizeram um grupo no WhatsApp e não me adicionaram. - Aconteceu na quinta.,Baixo Risco
453,Criaram um perfil falso no Instagram só para postar fotos minhas e me humilhar. - Aconteceu na quarta.,Risco Moderado
454,Esconderam meu estojo de sacanagem.,Baixo Risco
455,Estão espalhando mentiras graves sobre mim para a escola inteira.,Risco Moderado
456,Falaram mal do meu cabelo hoje de manhã.,Baixo Risco
457,Fizeram um grupo no WhatsApp e não me adicionaram.,Baixo Risco
458,Um menino da outra turma me deu língua. - Aconteceu na quinta.,Baixo Risco
459,Colocaram um apelido chato em mim durante a aula de educação física. - Aconteceu na quarta.,Baixo Risco
460,Um menino da outra turma me deu língua.,Baixo Risco
461,Falaram mal do meu cabelo hoje de manhã.,Baixo Risco
462,Um menino da outra turma me deu língua.,Baixo Risco
463,Criaram um perfil falso no Instagram só para postar fotos minhas e me humilhar. - Aconteceu na sexta.,Risco Moderado
464,Ficam rindo da minha roupa quando eu chego na sala. - Aconteceu na quinta.,Baixo Risco
465,Avisaram que vão me bater na saída da escola hoje.,Risco Moderado
466,Fizeram um grupo no WhatsApp e não me adicionaram.,Baixo Risco
467,Esconderam meu estojo de sacanagem.,Baixo Risco
468,Pegaram minha borracha e não devolveram.,Baixo Risco
469,Ficam rindo da minha roupa quando eu chego na sala. - Aconteceu na segunda.,Baixo Risco
470,Ficam rindo da minha roupa quando eu chego na sala. - Aconteceu na quarta.,Baixo Risco
471,Ficam mandando mensagens me xingando de lixo todos os dias. - Aconteceu na quarta.,Risco Moderado
472,Falaram mal do meu cabelo hoje de manhã.,Baixo Risco
473,Encontraram um revólver escondido no banheiro masculino. - Aconteceu na quinta.,Alto Risco
474,"Me empurraram na escada de propósito, quase caí. - Aconteceu na sexta.",Risco Moderado
475,Ficam mandando mensagens me xingando de lixo todos os dias.,Risco Moderado
476,Me chamaram de feio no recreio. - Aconteceu na quinta.,Baixo Risco
477,Ele disse que não tem mais vontade de viver e que vai fazer uma besteira amanhã na escola. - Aconteceu na quarta.,Alto Risco
478,"Me empurraram na escada de propósito, quase caí.",Risco Moderado
479,Avisaram que vão me bater na saída da escola hoje.,Risco Moderado
480,Um grupo ficou me encurralando no banheiro no intervalo.,Risco Moderado
481,Esconderam meu estojo de sacanagem.,Baixo Risco
482,Vi um cara vendendo drogas no portão e ele disse que está armado. - Aconteceu na sexta.,Alto Risco
483,Rasgaram meu caderno inteiro e jogaram minha mochila no lixo.,Risco Moderado
484,Colocaram um apelido chato em mim durante a aula de educação física. - Aconteceu na segunda.,Baixo Risco
485,Me chamaram de feio no recreio.,Baixo Risco
486,Roubaram meu dinheiro do lanche e disseram que se eu contar vão me pegar.,Risco Moderado
487,Ficam rindo da minha roupa quando eu chego na sala.,Baixo Risco
488,Me chamaram de feio no recreio. - Aconteceu na terça.,Baixo Risco
489,Ficam rindo da minha roupa quando eu chego na sala.,Baixo Risco
490,Rasgaram meu caderno inteiro e jogaram minha mochila no lixo. - Aconteceu na segunda.,Risco Moderado
491,Estão espalhando mentiras graves sobre mim para a escola inteira. - Aconteceu na sexta.,Risco Moderado
492,Estão espalhando mentiras graves sobre mim para a escola inteira. - Aconteceu na quinta.,Risco Moderado
493,Pegaram minha borracha e não devolveram.,Baixo Risco
494,Me chamaram de feio no recreio. - Aconteceu na sexta.,Baixo Risco
495,Ficam mandando mensagens me xingando de lixo todos os dias. - Aconteceu na quarta.,Risco Moderado
496,Um menino da outra turma me deu língua.,Baixo Risco
497,Rasgaram meu caderno inteiro e jogaram minha mochila no lixo.,Risco Moderado
498,Falaram mal do meu cabelo hoje de manhã. - Aconteceu na segunda.,Baixo Risco
499,Estão espalhando mentiras graves sobre mim para a escola inteira. - Aconteceu na quinta.,Risco Moderado
500,Colocaram um apelido chato em mim durante a aula de educação física.,Baixo Risco
501,Estão combinando um ataque armado no grupo do Discord da escola.,Alto Risco
502,Um menino da outra turma me deu língua. - Aconteceu na quarta.,Baixo Risco
503,Pegaram minha borracha e não devolveram.,Baixo Risco
504,Me chamaram de feio no recreio.,Baixo Risco
505,Falaram mal do meu cabelo hoje de manhã. - Aconteceu na segunda.,Baixo Risco
506,Me chamaram de feio no recreio.,Baixo Risco
507,Colocaram um apelido chato em mim durante a aula de educação física. - Aconteceu na terça.,Baixo Risco
508,Um aluno ameaçou matar a professora depois de levar uma advertência. - Aconteceu na terça.,Alto Risco
509,Rasgaram meu caderno inteiro e jogaram minha mochila no lixo. - Aconteceu na sexta.,Risco Moderado
510,Colocaram um apelido chato em mim durante a aula de educação física.,Baixo Risco
511,Falaram mal do meu cabelo hoje de manhã. - Aconteceu na terça.,Baixo Risco
512,Falaram mal do meu cabelo hoje de manhã. - Aconteceu na terça.,Baixo Risco
513,Criaram um perfil falso no Instagram só para postar fotos minhas e me humilhar.,Risco Moderado
514,"Me empurraram na escada de propósito, quase caí. - Aconteceu na quinta.",Risco Moderado
515,Um menino da outra turma me deu língua.,Baixo Risco
516,Esconderam meu estojo de sacanagem. - Aconteceu na quarta.,Baixo Risco
517,Fizeram um grupo no WhatsApp e não me adicionaram. - Aconteceu na quinta.,Baixo Risco
518,Encontraram um revólver escondido no banheiro masculino. - Aconteceu na quarta.,Alto Risco
519,"Me empurraram na escada de propósito, quase caí.",Risco Moderado
520,Esconderam meu estojo de sacanagem.,Baixo Risco
521,Um grupo ameaçou invadir a escola armados porque expulsaram um amigo deles.,Alto Risco
522,Estão combinando um ataque armado no grupo do Discord da escola.,Alto Risco
523,Estão combinando um ataque armado no grupo do Discord da escola.,Alto Risco
524,Estão combinando um ataque armado no grupo do Discord da escola. - Aconteceu na sexta.,Alto Risco
525,Um aluno da minha sala trouxe uma faca na mochila e me mostrou. - Aconteceu na sexta.,Alto Risco
526,Estão combinando um ataque armado no grupo do Discord da escola. - Aconteceu na sexta.,Alto Risco
527,Roubaram meu dinheiro do lanche e disseram que se eu contar vão me pegar.,Risco Moderado
528,Falaram mal do meu cabelo hoje de manhã. - Aconteceu na sexta.,Baixo Risco
529,Um grupo ficou me encurralando no banheiro no intervalo. - Aconteceu na sexta.,Risco Moderado
530,Um aluno da minha sala trouxe uma faca na mochila e me mostrou.,Alto Risco
531,Esconderam meu estojo de sacanagem.,Baixo Risco
532,Um menino da outra turma me deu língua. - Aconteceu na quinta.,Baixo Risco
533,Ficam rindo da minha roupa quando eu chego na sala.,Baixo Risco
534,Ficam mandando mensagens me xingando de lixo todos os dias. - Aconteceu na quinta.,Risco Moderado
535,Colocaram um apelido chato em mim durante a aula de educação física.,Baixo Risco
536,Colocaram um apelido chato em mim durante a aula de educação física.,Baixo Risco
537,Roubaram meu dinheiro do lanche e disseram que se eu contar vão me pegar. - Aconteceu na quarta.,Risco Moderado
538,Esconderam meu estojo de sacanagem.,Baixo Risco
539,Me chamaram de feio no recreio.,Baixo Risco
540,Esconderam meu estojo de sacanagem.,Baixo Risco
541,Estão espalhando mentiras graves sobre mim para a escola inteira. - Aconteceu na segunda.,Risco Moderado
542,Um menino da outra turma me deu língua.,Baixo Risco
543,Estão espalhando mentiras graves sobre mim para a escola inteira. - Aconteceu na sexta.,Risco Moderado
544,Fizeram um grupo no WhatsApp e não me adicionaram.,Baixo Risco
545,"Me empurraram na escada de propósito, quase caí.",Risco Moderado
546,Rasgaram meu caderno inteiro e jogaram minha mochila no lixo. - Aconteceu na quinta.,Risco Moderado
547,Pegaram minha borracha e não devolveram. - Aconteceu na sexta.,Baixo Risco
548,Avisaram que vão me bater na saída da escola hoje.,Risco Moderado
549,Me chamaram de feio no recreio. - Aconteceu na sexta.,Baixo Risco
550,Me chamaram de feio no recreio.,Baixo Risco
551,Rasgaram meu caderno inteiro e jogaram minha mochila no lixo.,Risco Moderado
552,Um menino da outra turma me deu língua. - Aconteceu na terça.,Baixo Risco
553,Fizeram um grupo no WhatsApp e não me adicionaram. - Aconteceu na quinta.,Baixo Risco
554,Um aluno da minha sala trouxe uma faca na mochila e me mostrou. - Aconteceu na quinta.,Alto Risco
555,Um menino da outra turma me deu língua. - Aconteceu na terça.,Baixo Risco
556,Avisaram que vão me bater na saída da escola hoje.,Risco Moderado
557,"Me empurraram na escada de propósito, quase caí.",Risco Moderado
558,Avisaram que vão me bater na saída da escola hoje.,Risco Moderado
559,Criaram um perfil falso no Instagram só para postar fotos minhas e me humilhar.,Risco Moderado
560,Estão espalhando mentiras graves sobre mim para a escola inteira.,Risco Moderado
561,Estão espalhando mentiras graves sobre mim para a escola inteira. - Aconteceu na terça.,Risco Moderado
562,Roubaram meu dinheiro do lanche e disseram que se eu contar vão me pegar.,Risco Moderado
563,Um grupo ficou me encurralando no banheiro no intervalo. - Aconteceu na terça.,Risco Moderado
564,Ficam rindo da minha roupa quando eu chego na sala. - Aconteceu na quinta.,Baixo Risco
565,Colocaram um apelido chato em mim durante a aula de educação física.,Baixo Risco
566,Pegaram minha borracha e não devolveram. - Aconteceu na segunda.,Baixo Risco
567,Pegaram minha borracha e não devolveram. - Aconteceu na terça.,Baixo Risco
568,Colocaram um apelido chato em mim durante a aula de educação física. - Aconteceu na quarta.,Baixo Risco
569,Criaram um perfil falso no Instagram só para postar fotos minhas e me humilhar. - Aconteceu na terça.,Risco Moderado
570,Colocaram um apelido chato em mim durante a aula de educação física.,Baixo Risco
571,Um grupo ameaçou invadir a escola armados porque expulsaram um amigo deles.,Alto Risco
572,Me chamaram de feio no recreio.,Baixo Risco
573,Um menino da outra turma me deu língua. - Aconteceu na sexta.,Baixo Risco
574,Encontraram um revólver escondido no banheiro masculino.,Alto Risco
575,Encontraram um revólver escondido no banheiro masculino. - Aconteceu na sexta.,Alto Risco
576,Estão combinando um ataque armado no grupo do Discord da escola.,Alto Risco
577,Estão combinando um ataque armado no grupo do Discord da escola.,Alto Risco
578,Fizeram um grupo no WhatsApp e não me adicionaram. - Aconteceu na quarta.,Baixo Risco
579,Um grupo ameaçou invadir a escola armados porque expulsaram um amigo deles. - Aconteceu na quinta.,Alto Risco
580,Ele disse que não tem mais vontade de viver e que vai fazer uma besteira amanhã na escola.,Alto Risco
581,Rasgaram meu caderno inteiro e jogaram minha mochila no lixo.,Risco Moderado
582,Criaram um perfil falso no Instagram só para postar fotos minhas e me humilhar. - Aconteceu na quinta.,Risco Moderado
583,Colocaram um apelido chato em mim durante a aula de educação física.,Baixo Risco
584,Esconderam meu estojo de sacanagem. - Aconteceu na quinta.,Baixo Risco
585,Colocaram um apelido chato em mim durante a aula de educação física. - Aconteceu na sexta.,Baixo Risco
586,Roubaram meu dinheiro do lanche e disseram que se eu contar vão me pegar. - Aconteceu na quinta.,Risco Moderado
587,Rasgaram meu caderno inteiro e jogaram minha mochila no lixo.,Risco Moderado
588,Ficam rindo da minha roupa quando eu chego na sala. - Aconteceu na quinta.,Baixo Risco
589,Estão espalhando mentiras graves sobre mim para a escola inteira. - Aconteceu na quarta.,Risco Moderado
590,Um aluno ameaçou matar a professora depois de levar uma advertência.,Alto Risco
591,Esconderam meu estojo de sacanagem. - Aconteceu na sexta.,Baixo Risco
592,Roubaram meu dinheiro do lanche e disseram que se eu contar vão me pegar. - Aconteceu na segunda.,Risco Moderado
593,"Me empurraram na escada de propósito, quase caí.",Risco Moderado
594,Estão espalhando mentiras graves sobre mim para a escola inteira.,Risco Moderado
595,Rasgaram meu caderno inteiro e jogaram minha mochila no lixo.,Risco Moderado
596,Me chamaram de feio no recreio. - Aconteceu na sexta.,Baixo Risco
597,Pegaram minha borracha e não devolveram. - Aconteceu na segunda.,Baixo Risco
598,Criaram um perfil falso no Instagram só para postar fotos minhas e me humilhar. - Aconteceu na quarta.,Risco Moderado
599,Um menino da outra turma me deu língua.,Baixo Risco
600,"Me empurraram na escada de propósito, quase caí. - Aconteceu na quarta.",Risco Moderado
601,Colocaram um apelido chato em mim durante a aula de educação física. - Aconteceu na quarta.,Baixo Risco
602,Criaram um perfil falso no Instagram só para postar fotos minhas e me humilhar.,Risco Moderado
603,Fizeram um grupo no WhatsApp e não me adicionaram. - Aconteceu na quarta.,Baixo Risco
604,Me chamaram de feio no recreio.,Baixo Risco
605,Estão espalhando mentiras graves sobre mim para a escola inteira. - Aconteceu na quinta.,Risco Moderado
606,Ficam rindo da minha roupa quando eu chego na sala.,Baixo Risco
607,Roubaram meu dinheiro do lanche e disseram que se eu contar vão me pegar. - Aconteceu na terça.,Risco Moderado
608,Um menino da outra turma me deu língua. - Aconteceu na quarta.,Baixo Risco
609,Esconderam meu estojo de sacanagem. - Aconteceu na segunda.,Baixo Risco
610,Rasgaram meu caderno inteiro e jogaram minha mochila no lixo.,Risco Moderado
611,Avisaram que vão me bater na saída da escola hoje.,Risco Moderado
612,Estão espalhando mentiras graves sobre mim para a escola inteira.,Risco Moderado
613,Estão combinando um ataque armado no grupo do Discord da escola. - Aconteceu na quarta.,Alto Risco
614,Um menino da outra turma me deu língua.,Baixo Risco
615,Estão combinando um ataque armado no grupo do Discord da escola. - Aconteceu na terça.,Alto Risco
616,"Me empurraram na escada de propósito, quase caí.",Risco Moderado
617,Criaram um perfil falso no Instagram só para postar fotos minhas e me humilhar. - Aconteceu na terça.,Risco Moderado
618,Um menino da outra turma me deu língua. - Aconteceu na quinta.,Baixo Risco
619,Um menino da outra turma me deu língua.,Baixo Risco
620,Estão combinando um ataque armado no grupo do Discord da escola. - Aconteceu na quinta.,Alto Risco
621,Um menino da outra turma me deu língua.,Baixo Risco
622,Pegaram minha borracha e não devolveram. - Aconteceu na quinta.,Baixo Risco
623,Um grupo ameaçou invadir a escola armados porque expulsaram um amigo deles. - Aconteceu na quarta.,Alto Risco
624,Falaram mal do meu cabelo hoje de manhã. - Aconteceu na terça.,Baixo Risco
625,Ficam rindo da minha roupa quando eu chego na sala.,Baixo Risco
626,Um grupo ameaçou invadir a escola armados porque expulsaram um amigo deles.,Alto Risco
627,Avisaram que vão me bater na saída da escola hoje. - Aconteceu na quarta.,Risco Moderado
628,Um grupo ficou me encurralando no banheiro no intervalo.,Risco Moderado
629,Ficam rindo da minha roupa quando eu chego na sala.,Baixo Risco
630,Um grupo ficou me encurralando no banheiro no intervalo.,Risco Moderado
631,"Me empurraram na escada de propósito, quase caí.",Risco Moderado
632,Um menino da outra turma me deu língua.,Baixo Risco
633,Esconderam meu estojo de sacanagem. - Aconteceu na terça.,Baixo Risco
634,Falaram mal do meu cabelo hoje de manhã. - Aconteceu na sexta.,Baixo Risco
635,Um aluno da minha sala trouxe uma faca na mochila e me mostrou. - Aconteceu na segunda.,Alto Risco
636,"Me empurraram na escada de propósito, quase caí. - Aconteceu na quarta.",Risco Moderado
637,Me chamaram de feio no recreio.,Baixo Risco
638,Falaram mal do meu cabelo hoje de manhã.,Baixo Risco
639,Pegaram minha borracha e não devolveram. - Aconteceu na quarta.,Baixo Risco
640,Me chamaram de feio no recreio.,Baixo Risco
641,Um grupo ficou me encurralando no banheiro no intervalo. - Aconteceu na quinta.,Risco Moderado
642,Estão combinando um ataque armado no grupo do Discord da escola. - Aconteceu na sexta.,Alto Risco
643,Um grupo ficou me encurralando no banheiro no intervalo. - Aconteceu na quinta.,Risco Moderado
644,Estão espalhando mentiras graves sobre mim para a escola inteira.,Risco Moderado
645,"Bateram muito num menino no pátio, ele estava sangrando bastante.",Alto Risco
646,Esconderam meu estojo de sacanagem.,Baixo Risco
647,Um aluno da minha sala trouxe uma faca na mochila e me mostrou. - Aconteceu na quinta.,Alto Risco
648,Ele disse que não tem mais vontade de viver e que vai fazer uma besteira amanhã na escola.,Alto Risco
649,Um aluno ameaçou matar a professora depois de levar uma advertência.,Alto Risco
650,Criaram um perfil falso no Instagram só para postar fotos minhas e me humilhar. - Aconteceu na segunda.,Risco Moderado
651,Colocaram um apelido chato em mim durante a aula de educação física. - Aconteceu na quinta.,Baixo Risco
652,Um menino da outra turma me deu língua. - Aconteceu na quarta.,Baixo Risco
653,Um aluno ameaçou matar a professora depois de levar uma advertência. - Aconteceu na sexta.,Alto Risco
654,Ficam rindo da minha roupa quando eu chego na sala. - Aconteceu na terça.,Baixo Risco
655,Vi um cara vendendo drogas no portão e ele disse que está armado. - Aconteceu na quinta.,Alto Risco
656,"Bateram muito num menino no pátio, ele estava sangrando bastante.",Alto Risco
657,Criaram um perfil falso no Instagram só para postar fotos minhas e me humilhar. - Aconteceu na quinta.,Risco Moderado
658,Pegaram minha borracha e não devolveram.,Baixo Risco
659,Pegaram minha borracha e não devolveram.,Baixo Risco
660,Um menino da outra turma me deu língua. - Aconteceu na terça.,Baixo Risco
661,Me chamaram de feio no recreio.,Baixo Risco
662,Um grupo ficou me encurralando no banheiro no intervalo. - Aconteceu na quarta.,Risco Moderado
663,Colocaram um apelido chato em mim durante a aula de educação física. - Aconteceu na segunda.,Baixo Risco
664,Um menino da outra turma me deu língua. - Aconteceu na sexta.,Baixo Risco
665,Falaram mal do meu cabelo hoje de manhã. - Aconteceu na sexta.,Baixo Risco
666,Avisaram que vão me bater na saída da escola hoje.,Risco Moderado
667,Um menino da outra turma me deu língua. - Aconteceu na segunda.,Baixo Risco
668,Me chamaram de feio no recreio.,Baixo Risco
669,Um aluno ameaçou matar a professora depois de levar uma advertência.,Alto Risco
670,Pegaram minha borracha e não devolveram. - Aconteceu na sexta.,Baixo Risco
671,Um grupo ficou me encurralando no banheiro no intervalo. - Aconteceu na quarta.,Risco Moderado
672,Avisaram que vão me bater na saída da escola hoje. - Aconteceu na terça.,Risco Moderado
673,Ficam rindo da minha roupa quando eu chego na sala. - Aconteceu na sexta.,Baixo Risco
674,Esconderam meu estojo de sacanagem. - Aconteceu na sexta.,Baixo Risco
675,Falaram mal do meu cabelo hoje de manhã.,Baixo Risco
676,Roubaram meu dinheiro do lanche e disseram que se eu contar vão me pegar.,Risco Moderado
677,Colocaram um apelido chato em mim durante a aula de educação física.,Baixo Risco
678,Fizeram um grupo no WhatsApp e não me adicionaram. - Aconteceu na quarta.,Baixo Risco
679,Estão espalhando mentiras graves sobre mim para a escola inteira. - Aconteceu na terça.,Risco Moderado
680,Avisaram que vão me bater na saída da escola hoje. - Aconteceu na terça.,Risco Moderado
681,Esconderam meu estojo de sacanagem. - Aconteceu na sexta.,Baixo Risco
682,Rasgaram meu caderno inteiro e jogaram minha mochila no lixo. - Aconteceu na segunda.,Risco Moderado
683,Colocaram um apelido chato em mim durante a aula de educação física.,Baixo Risco
684,Fizeram um grupo no WhatsApp e não me adicionaram.,Baixo Risco
685,Um grupo ficou me encurralando no banheiro no intervalo.,Risco Moderado
686,Me chamaram de feio no recreio. - Aconteceu na segunda.,Baixo Risco
687,Rasgaram meu caderno inteiro e jogaram minha mochila no lixo.,Risco Moderado
688,Rasgaram meu caderno inteiro e jogaram minha mochila no lixo.,Risco Moderado
689,Um grupo ameaçou invadir a escola armados porque expulsaram um amigo deles.,Alto Risco
690,Pegaram minha borracha e não devolveram. - Aconteceu na quarta.,Baixo Risco
691,Avisaram que vão me bater na saída da escola hoje. - Aconteceu na terça.,Risco Moderado
692,Pegaram minha borracha e não devolveram. - Aconteceu na sexta.,Baixo Risco
693,Ficam rindo da minha roupa quando eu chego na sala.,Baixo Risco
694,Fizeram um grupo no WhatsApp e não me adicionaram. - Aconteceu na sexta.,Baixo Risco
695,Estão espalhando mentiras graves sobre mim para a escola inteira.,Risco Moderado
696,Um grupo ficou me encurralando no banheiro no intervalo. - Aconteceu na quarta.,Risco Moderado
697,"Bateram muito num menino no pátio, ele estava sangrando bastante. - Aconteceu na sexta.",Alto Risco
698,Falaram mal do meu cabelo hoje de manhã.,Baixo Risco
699,Encontraram um revólver escondido no banheiro masculino. - Aconteceu na terça.,Alto Risco
700,Falaram mal do meu cabelo hoje de manhã. - Aconteceu na segunda.,Baixo Risco
701,Esconderam meu estojo de sacanagem.,Baixo Risco
702,Estão espalhando mentiras graves sobre mim para a escola inteira.,Risco Moderado
703,Um aluno da minha sala trouxe uma faca na mochila e me mostrou.,Alto Risco
